100000,0.000478
100001,0.000512
100002,0.000498
100003,0.000476
100004,0.000482
100005,0.000517
100006,0.000468
100007,0.000480
100008,0.000475
100009,0.000470
100010,0.000445
100011,0.000448
100012,0.000457
100013,0.000454
100014,0.000463
100015,0.000476
100016,0.000477
100017,0.000500
100018,0.000442
100019,0.000473
100020,0.000432
100021,0.000447
100022,0.000435
100023,0.000471
100024,0.000512
100025,0.000533
100026,0.000493
100027,0.000521
100028,0.000459
100029,0.000479
100030,0.000476
100031,0.000476
100032,0.000461
100033,0.000474
100034,0.000463
100035,0.000474
100036,0.000460
100037,0.000517
100038,0.000475
100039,0.000506
100040,0.000531
100041,0.000508
100042,0.000467
100043,0.000467
100044,0.000451
100045,0.000470
100046,0.000463
100047,0.000475
100048,0.000460
100049,0.000472
100050,0.000464
100051,0.000471
100052,0.000539
100053,0.000466
100054,0.000467
100055,0.000481
100056,0.000459
100057,0.000485
100058,0.000472
100059,0.000471
100060,0.000459
100061,0.000471
100062,0.000473
100063,0.000532
100064,0.000458
100065,0.000480
100066,0.000464
100067,0.000472
100068,0.000458
100069,0.000476
100070,0.000480
100071,0.000475
100072,0.000458
100073,0.000537
100074,0.000472
100075,0.000462
100076,0.000461
100077,0.000474
100078,0.000463
100079,0.000476
100080,0.000460
100081,0.000473
100082,0.000457
100083,0.000558
100084,0.000485
100085,0.000471
100086,0.000475
100087,0.000472
100088,0.000461
100089,0.000472
100090,0.000463
100091,0.000472
100092,0.000461
100093,0.000466
100094,0.000455
100095,0.000520
100096,0.000503
100097,0.000466
100098,0.000462
100099,0.000460
