2010,0.000014
2015,0.000014
2020,0.000020
2025,0.000014
2030,0.000014
2035,0.000014
2040,0.000014
2045,0.000017
2050,0.000014
2055,0.000014
2060,0.000014
2065,0.000014
2070,0.000014
2075,0.000014
2080,0.000014
2085,0.000016
2090,0.000014
2095,0.000014
2100,0.000014
2105,0.000018
2110,0.000014
2115,0.000014
2120,0.000014
2125,0.000014
2130,0.000014
2135,0.000014
2140,0.000015
2145,0.000015
2150,0.000016
2155,0.000015
2160,0.000015
2165,0.000015
2170,0.000015
2175,0.000018
2180,0.000019
2185,0.000016
2190,0.000016
2195,0.000017
