100000 1670
100001 1671
100002 1669
100003 1670
100004 1670
100005 1671
100006 1671
100007 1672
100008 1667
100009 1668
100010 1668
100011 1669
100012 1669
100013 1670
100014 1668
100015 1669
100016 1669
100017 1670
100018 1670
100019 1671
100020 1667
100021 1668
100022 1668
100023 1669
100024 1669
100025 1670
100026 1668
100027 1669
100028 1669
100029 1670
100030 1670
100031 1671
100032 1668
100033 1669
100034 1669
100035 1670
100036 1670
100037 1671
100038 1669
100039 1670
100040 1670
100041 1671
100042 1671
100043 1672
100044 1668
100045 1669
100046 1669
100047 1670
100048 1670
100049 1671
100050 1669
100051 1670
100052 1670
100053 1671
100054 1671
100055 1672
100056 1669
100057 1670
100058 1670
100059 1671
100060 1671
100061 1672
100062 1670
100063 1671
100064 1671
100065 1672
100066 1672
100067 1673
100068 1668
100069 1669
100070 1669
100071 1670
100072 1670
100073 1671
100074 1669
100075 1670
100076 1670
100077 1671
100078 1671
100079 1672
100080 1668
100081 1669
100082 1669
100083 1670
100084 1670
100085 1671
100086 1669
100087 1670
100088 1670
100089 1671
100090 1671
100091 1672
100092 1669
100093 1670
100094 1670
100095 1671
100096 1671
100097 1672
100098 1670
100099 1671
